"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R20,R3,R4,R5,R6,R9,R10,R11,R12,R14,R16,R18,R19,R21";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";14;"10K";;;
2;"ISA1";"Conn_Edge_PCB_ISA8";1;"Bus_ISA_8bit";;;
3;"C1,C2,C5,C6,C13,C15,C16,C25";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";8;"10uF";;;
4;"C3,C4,C7,C8,C14,C17,C18";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";7;"0.1uF";;;
5;"C21";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"68pF";;;
6;"C22,C23";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"2.7nF";;;
7;"J1";"PinHeader_2x05_P2.54mm_Vertical_modificado";1;"AUDIO IN/OUT";;;
8;"R1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"33";;;
9;"R2,R8,R15,R17";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"100K";;;
10;"R7,R13";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"330";;;
11;"SW1";"Switch_DIP_2_Positions";1;"Address Select";;;
12;"U3";"DIP-20_W7.62mm";1;"ATF16V8B";;;
13;"C24,C10,C12,C11";"C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";4;"1uF";;;
14;"U6";"IC_SOIC8_Narrow";1;"TL072";;;
15;"U5";"IC_SOIC14_Narrow";1;"TL074";;;
16;"X1";"Oscillator_DIP-14";1;"TTL 14.318";;;
17;"U1";"IC_SOIC20_Wide";1;"74HCT245";;;
18;"U2";"IC_SOIC24_Wide_8.4";1;"YMF262";;;
19;"U4";"IC_SOIC16_Wide_5.3";1;"YAC512-M";;;
